Nr,Source,C / wt.%,Mn / wt.%,Si / wt.%,Ni / wt.%,Cr / wt.%,Mo / wt.%,V / wt.%,Co / wt.%,Al / wt.%,Bs °C
20,21,0.19,1.37,0.14,0.56,0.2,0.31,0,0,0,600
21,21,0.33,1.48,0.18,0.26,0.16,0.27,0,0,0,580
22,21,0.39,0.89,0.16,0.25,0.88,0,0,0,0,560
23,21,0.48,0.86,0.25,0.18,0.98,0.04,0,0,0,560
24,21,0.41,0.64,0.31,0.18,1.24,0.38,0,0,0,540
25,21,0.41,0.67,0.23,0.2,1.01,0.23,0,0,0,570
26,21,0.4,0.62,0.26,3.45,0.28,0.1,0,0,0,540
27,21,0.33,0.57,0.23,3.26,0.85,0.09,0,0,0,500
28,21,0.32,0.61,0.28,3.22,0.63,0.22,0.03,0,0,520
29,21,0.36,0.52,0.22,1.52,1.17,0.27,0,0,0,530
30,21,0.38,0.69,0.2,1.58,0.95,0.26,0,0,0,535
31,21,0.32,0.56,0.27,2.37,0.74,0.51,0,0,0,510
32,21,0.31,0.62,0.2,2.63,0.64,0.58,0,0,0,500
33,21,0.38,0.56,0.15,2.42,0.74,0.46,0,0,0,520
34,21,0.42,0.67,0.31,2.53,0.72,0.48,0,0,0,480
35,21,0.26,0.55,0.21,0.25,3.34,0.54,0,0,0,450
36,21,0.4,1.38,0.24,0.74,0.53,0.16,0,0,0,530
37,21,0.4,1.34,0.21,1.03,0.53,0.22,0,0,0,520
38,21,0.44,0.58,0.23,1.4,1.26,0.11,0,0,0,525
39,21,0.39,0.62,0.23,1.44,1.11,0.18,0,0,0,520
40,21,0.24,0.42,0.17,1.84,0.18,0.2,0,0,0,640
41,21,0.14,0.46,0.19,3.55,1.11,0.12,0,0,0,550
42,21,0.15,0.41,0.25,3.02,0.9,0.15,0,0,0,580
43,21,0.14,0.5,0.22,2.13,2,0.18,0,0,0,520
44,21,0.19,0.9,0.21,1.87,1.08,0.18,0,0,0,530
45,21,0.31,0.54,0.13,1.67,1.24,0.24,0,0,0,530
46,21,0.41,0.58,0.35,1.43,1.27,0.31,0,0,0,490
47,21,0.49,0.52,0.17,1.5,1.28,0.29,0,0,0,480
48,21,0.38,0.55,0.33,0.16,1.25,0.31,0,0,0,550
49,21,0.38,0.56,0.12,3,1.21,0.29,0,0,0,450
50,21,0.41,0.52,0.15,1.46,2.1,0.29,0,0,0,430
51,21,0.37,0.52,0.12,1.51,2.9,0.29,0,0,0,400
52,21,0.39,0.2,0.26,1.66,1.22,0.26,0,0,0,540
53,21,0.4,0.84,0.27,1.75,1.23,0.27,0,0,0,450
94,37,0.26,0.31,0.23,0,3.11,0,0,0,0,525
101,37,0.33,0.41,0,0,0,1.96,0,0,0,585
102,37,0.39,0.56,0,3.53,0,0.74,0,0,0,535
103,37,0.33,0.84,0,0,1.05,1.07,0,0,0,495
104,37,0.55,0.6,0,0,1.03,0.19,0,0,0,550
105,37,0.57,0.82,0,1.16,1.07,0.26,0,0,0,490
106,37,0.32,0.51,0.19,3.02,1.37,0.48,0,0,0,435
107,37,0.2,0.61,0.23,2,1.65,0.19,0,0,0,520
108,37,0.5,0.8,0.32,0.11,1.04,0.24,0.01,0,0,535
109,37,0.43,0.75,0.27,0.11,1.31,0.72,0.23,0,0,485
110,37,0.52,0.7,0.29,1.72,1.09,1.72,0.14,0,0,465
111,37,0.36,0.53,0.32,3.74,1.86,0.05,0,0,0,425
112,37,0.29,0.78,0.24,1.62,1.49,0.44,0,0,0,470
113,37,0.36,0.39,0.3,3.7,1.64,0.23,0,0,0,440
114,37,0.3,0.56,0.27,1.75,1.85,0.49,0,0,0,470
115,37,0.32,0.55,0.27,1.9,1.8,0.58,0,0,0,445
116,37,0.34,0.52,0.37,2.65,1.8,0.53,0.15,0,0,425
117,37,0.43,0.83,1.55,1.84,0.91,0.4,0.12,0,0,480
118,37,0.32,0.72,0.19,1.7,0.82,0.32,0.17,0,0,560
119,37,0.34,0.98,1.37,1.82,0.95,0.42,0.14,0,0,465
120,37,0.11,0.7,0,3.19,1.26,0.11,0,0,0,530
121,37,0.17,0.59,0.3,3.18,1.12,0.13,0,0,0,540
122,37,0.38,1.49,0.25,0.24,0.14,0.41,0,0,0,550
123,37,0.51,0.72,0.27,0.15,0.94,0.05,0,0,0,565
124,37,0.41,0.58,0.28,0.15,1.39,0.74,0,0,0,500
125,37,0.32,0.61,0.28,3.22,0.63,0.22,0,0,0,530
126,37,0.39,0.62,0.23,1.44,1.11,0.28,0,0,0,530
127,37,0.4,1.34,0.21,1.03,0.53,0.22,0,0,0,540
128,37,0.25,0.52,0.15,3.33,1.14,0.65,0,0,0,480
129,37,0.26,0.58,0.49,0.18,1.65,0.84,0.38,0,0,485
130,37,0.31,0.67,0.3,0.94,3,0.51,0,0,0,445
131,37,0.2,0.63,0.32,3.85,0.25,0.94,0,0,0,490
132,37,0.32,0.51,0.19,3.02,1.37,0.48,0.18,0,0,455
133,37,0.27,0.84,0,0.6,0.73,0.9,0,0,0,540
134,37,0.25,0.88,0,0.59,0.73,0.88,0,0,0,505
135,37,0.6,0.45,0,3.33,1.52,0,0,0,0,425
136,37,0.42,0.78,0,1.79,0.8,0.33,0,0,0,520
137,37,0.62,0.54,0.67,1.79,0.6,0.32,0,0,0,505
138,37,0.51,0.73,0,2.74,0.99,0.45,0,0,0,475
1,38,1.02,0.33,0.35,0,2.9,0,0,0,0,405
2,38,0.3,0.6,0.36,0.03,2.04,0.33,0,0,0,555
3,38,0.29,0.5,0.34,0.03,2.4,0.34,0,0,0,525
4,38,0.38,1.49,0.25,0,0,0.41,0,0,0,525
5,38,0.39,1.58,0.27,0.05,0.16,0.44,0,0,0,515
6,38,0.49,0.41,0.33,2.97,1.87,0,0,0,0,435
7,38,0.8,0.45,0,3.33,1.52,0,0,0,0,430
8,38,0.33,0.23,0.06,3.78,1.79,0,0,0,0,450
9,38,0.31,0.46,0.26,0.26,2.08,0.48,0,0,0,510
10,38,0.97,0.72,0.32,1.54,0.8,0.26,0.027,0,0.025,460
11,38,0.38,0.69,0.2,1.58,0.95,0.26,0,0,0,520
12,38,0.31,0.66,0.28,1.67,0.72,0.34,0,0,0,545
13,38,0.42,0.68,0.18,1.74,0.81,0.29,0,0,0,515
14,38,0.86,0.66,0.38,2.47,1.21,0.5,0,0,0,415
15,38,0.35,0.43,0.25,2.52,1.55,0.53,0,0,0,505
16,38,0.3,0.69,0.22,2.83,0.85,0.3,0.01,0,0.005,510
17,38,0.32,0.51,0.19,3.02,1.37,0.48,0.18,0,0,440
18,38,0.25,0.52,0.15,3.33,1.14,0.65,0.16,0,0,480
19,38,0.27,0.53,0.26,3.38,0.71,0.18,0,0,0,515
139,38,0.3,1.52,0,1.11,0.66,0.55,0,0,0,510
140,38,0.3,1.54,0,0.94,2.05,0.43,0,0,0,445
141,38,0.3,2.02,0,1.11,0.66,0.55,0,0,0,460
142,38,0.3,2.5,0,0.97,2.95,0.43,0,0,0,330
143,38,0.31,2.02,0,1.11,0.66,0.55,0,0,0,445
144,38,0.31,2.02,0,1.8,0.66,0.55,0,0,0,425
145,38,0.33,1.49,0,2.07,0.67,0.5,0,0,0,445
75,39,0.23,1.86,0.25,0,0,0,0,0,0.042,590
95,58,0.15,0.24,0.12,0,2.91,0,0,0,0,585
96,58,0.4,1.34,0.21,1.03,0.53,0.22,0,0,0,515
97,58,0.27,0.53,0.26,3.38,0.71,0.18,0,0,0,525
98,58,0.44,0.79,1.63,0,2.1,0.54,0.06,0,0,485
99,58,0.45,0.8,0.25,1.15,0.55,1,0.05,0,0,530
100,58,0.32,0.51,0.16,3.02,1.37,0.48,0.18,0,0,435
54,59,0.43,3,2.12,0,0,0,0,0,0,450
55,60,0.13,0,0,0,2.99,0,0,0,0,580
56,61,0.25,0,0,0,0,3.76,0,0,0,550
57,61,0.25,0,0,0,0,4,0,0,0,550
58,61,0.15,0,0,0,0,3.67,0,0,0,560
59,61,0.2,0,0,0,0,4,0,0,0,560
60,61,0.25,0,0,0,0,2.94,0,0,0,560
61,61,0.25,0,0,0,0,3.19,0,0,0,565
62,61,0.15,0,0,0,0,3.98,0,0,0,570
63,61,0.2,0,0,0,0,3.76,0,0,0,570
64,61,0.15,0,0,0,0,2.94,0,0,0,580
65,61,0.15,0,0,0,0,3.4,0,0,0,580
66,61,0.2,0,0,0,0,2.98,0,0,0,580
67,61,0.25,0,0,0,0,2.56,0,0,0,580
68,61,0.15,0,0,0,0,2.55,0,0,0,590
69,61,0.2,0,0,0,0,2.56,0,0,0,590
70,61,0.25,0,0,0,0,2.31,0,0,0,595
71,61,0.2,0,0,0,0,2.3,0,0,0,600
72,61,0.15,0,0,0,0,2.29,0,0,0,615
73,62,0.46,0,0,2.32,0,0,0,0,0,580
74,62,0.37,2.29,2.23,0,0,0,0,0,0,465
76,64,0.46,2.15,2.1,0,0,0,0,0,0,510
77,64,0.44,2.14,2.13,0,0.5,0,0,0,0,450
78,64,0.095,1.99,1.63,0,1.97,0,0,0,0,460
79,64,0.1,2.12,1.77,2,0,0,0,0,0,480
80,64,0.27,2.18,1.98,0,1.9,0,0,0,0,400
81,64,0.27,2.16,2.01,2.07,0,0,0,0,0,460
82,64,0.26,2.1,1.85,0,0,0,0,0,0,540
83,64,0.26,2.04,1.93,0,1.02,0,0,0,0,450
85,65,0.98,1.89,1.46,0,1.26,0.26,0.09,0,0,335
86,65,0.83,1.98,1.57,0,1.02,0.24,0,1.54,0,360
87,65,0.78,1.95,1.49,0,0.97,0.24,0,1.6,0.99,385
88,66,0.29,2.06,1.48,0.006,0.43,0.265,0,0,0.0008,460
89,67,0.21,1.56,1.46,0,1.49,0.25,0,0,0,500
90,67,0.29,2.06,1.48,0,0.43,0.27,0,0,0,450
91,67,0.29,1.97,1.45,0,0.95,0.26,0,0.67,0,400
92,67,0.31,1.97,1.4,1.7,1.41,0.26,0,1.13,1.01,400
93,67,0.29,1.56,1.49,0,1.47,0.25,0,0,0,450
84,63,0.28,0,0,0,0,3,0,0,0,560
1002,,0.2,0.89,1.46,0,1.18,0.67,0.1,0,0.1,535
1003,,0.29,0.89,1.47,0,1.18,0.68,0.1,0,0.1,515
1004,,0.41,0.89,1.49,0,1.2,0.68,0.1,0,0.1,485
1005,,0.52,0.89,1.55,0,1.22,0.78,0.1,0,0.1,465
1006,,0.6,0.89,1.48,0,1.19,0.68,0.1,0,0.1,455
1008,,0.38,0.89,1.14,0,1.2,0.69,0.1,0,0,485
1009,,0.8,0.29,1.35,0,0,0.56,0,0,0.97,585
1010,,0.4,0.89,3,0,1.2,0.69,0.1,0,0,470
1011,,0.4,2,1.5,0,0.5,0.69,0.1,0,0,470
